noise_type,noise_label,amount,amount_level,param_label,feature,feature_group,model,rmse,r2,rmse_delta,rmse_pct
gaussian,Gaussian (Additive),0.25,2,σ (std dev),RiverManagement,Infrastructure,XGBoost,0.011011557293607484,0.9513149088182641,8.173800987128915e-05,0.7478441111365589
gaussian,Gaussian (Additive),0.25,2,σ (std dev),Deforestation,Human / Land Use,Linear Regression,0.0006610450668710015,0.9998245470642675,0.0006610450668708906,596244327100281.6
gaussian,Gaussian (Additive),0.25,2,σ (std dev),Deforestation,Human / Land Use,XGBoost,0.011106080042565955,0.9504754999014148,0.00017626075882976044,1.612659406839784
gaussian,Gaussian (Additive),0.25,2,σ (std dev),Urbanization,Human / Land Use,Linear Regression,0.0006802559346978848,0.9998142010818728,0.0006802559346977739,613571997382540.4
gaussian,Gaussian (Additive),0.25,2,σ (std dev),Urbanization,Human / Land Use,XGBoost,0.010970934888053771,0.9516734516689673,4.111560431757644e-05,0.37617826288086337
gaussian,Gaussian (Additive),0.25,2,σ (std dev),ClimateChange,Socio-Political,Linear Regression,0.0006561603901506544,0.9998271304416309,0.0006561603901505435,591838484094732.6
gaussian,Gaussian (Additive),0.25,2,σ (std dev),ClimateChange,Socio-Political,XGBoost,0.01098285530884673,0.9515683766207366,5.303602511053454e-05,0.48524155554386234
gaussian,Gaussian (Additive),0.25,2,σ (std dev),DamsQuality,Infrastructure,Linear Regression,0.0006811897945843894,0.9998136905997272,0.0006811897945842785,614414313114916.4
gaussian,Gaussian (Additive),0.25,2,σ (std dev),DamsQuality,Infrastructure,XGBoost,0.010917436433274162,0.9521436197996056,-1.2382850462032413e-05,-0.1132941921597767
gaussian,Gaussian (Additive),0.25,2,σ (std dev),Siltation,Physical / Environmental,Linear Regression,0.0006678520762431791,0.9998209150611009,0.0006678520762430682,602384060873489.0
gaussian,Gaussian (Additive),0.25,2,σ (std dev),Siltation,Physical / Environmental,XGBoost,0.01095643569815187,0.9518011040137928,2.6616414415675527e-05,0.24352108415261103
gaussian,Gaussian (Additive),0.25,2,σ (std dev),AgriculturalPractices,Human / Land Use,Linear Regression,0.0006502377324910475,0.9998302370798451,0.0006502377324909366,586496411053308.2
gaussian,Gaussian (Additive),0.25,2,σ (std dev),AgriculturalPractices,Human / Land Use,XGBoost,0.010994329777720222,0.9514671247257414,6.451049398402756e-05,0.5902247082897386
gaussian,Gaussian (Additive),0.25,2,σ (std dev),Encroachments,Human / Land Use,Linear Regression,0.0006801019819736887,0.9998142851708498,0.0006801019819735778,613433136292663.2
gaussian,Gaussian (Additive),0.25,2,σ (std dev),Encroachments,Human / Land Use,XGBoost,0.010969250650457396,0.9516882885343304,3.943136672120151e-05,0.3607686979772505
gaussian,Gaussian (Additive),0.25,2,σ (std dev),IneffectiveDisasterPreparedness,Socio-Political,Linear Regression,0.0006584542177904962,0.9998259196825429,0.0006584542177903853,593907453044271.2
gaussian,Gaussian (Additive),0.25,2,σ (std dev),IneffectiveDisasterPreparedness,Socio-Political,XGBoost,0.011075821768486321,0.9507449891435702,0.00014600248475012644,1.3358179212293222
gaussian,Gaussian (Additive),0.25,2,σ (std dev),DrainageSystems,Infrastructure,Linear Regression,0.0006487483836868205,0.9998310138623444,0.0006487483836867096,585153059714499.4
gaussian,Gaussian (Additive),0.25,2,σ (std dev),DrainageSystems,Infrastructure,XGBoost,0.01097241071306905,0.9516604488890236,4.2591429332855535e-05,0.389681002285486
gaussian,Gaussian (Additive),0.25,2,σ (std dev),CoastalVulnerability,Physical / Environmental,Linear Regression,0.0006824208357671839,0.9998130165972973,0.0006824208357670729,615524678139108.2
gaussian,Gaussian (Additive),0.25,2,σ (std dev),CoastalVulnerability,Physical / Environmental,XGBoost,0.010999880525704437,0.9514181064099445,7.006124196824205e-05,0.6410100674994205
gaussian,Gaussian (Additive),0.25,2,σ (std dev),Landslides,Physical / Environmental,Linear Regression,0.0006594515029652246,0.9998253919641777,0.0006594515029651137,594806976628567.4
gaussian,Gaussian (Additive),0.25,2,σ (std dev),Landslides,Physical / Environmental,XGBoost,0.010902232736731214,0.9522768172330048,-2.7586547004980824e-05,-0.2523971008928775
gaussian,Gaussian (Additive),0.25,2,σ (std dev),Watersheds,Physical / Environmental,Linear Regression,0.0006798907690161708,0.9998144005043981,0.0006798907690160599,613242628059501.2
gaussian,Gaussian (Additive),0.25,2,σ (std dev),Watersheds,Physical / Environmental,XGBoost,0.011071201796946484,0.9507860712941532,0.00014138251321028916,1.2935484982873355
gaussian,Gaussian (Additive),0.25,2,σ (std dev),DeterioratingInfrastructure,Infrastructure,Linear Regression,0.0006744382309100666,0.999817365481813,0.0006744382309099557,608324589824299.1
gaussian,Gaussian (Additive),0.25,2,σ (std dev),DeterioratingInfrastructure,Infrastructure,XGBoost,0.01100805281875452,0.951345892361033,7.823353501832525e-05,0.7157806820716462
gaussian,Gaussian (Additive),0.25,2,σ (std dev),PopulationScore,Human / Land Use,Linear Regression,0.0006504835173411656,0.9998301087174395,0.0006504835173410546,586718102175312.5
gaussian,Gaussian (Additive),0.25,2,σ (std dev),PopulationScore,Human / Land Use,XGBoost,0.010939957100441369,0.951945978306575,1.0137816705174316e-05,0.09275374497965949
gaussian,Gaussian (Additive),0.25,2,σ (std dev),WetlandLoss,Physical / Environmental,Linear Regression,0.0006764699618265294,0.9998162634591473,0.0006764699618264185,610157154794293.5
gaussian,Gaussian (Additive),0.25,2,σ (std dev),WetlandLoss,Physical / Environmental,XGBoost,0.011027396463965949,0.9511747495228194,9.757718022975446e-05,0.8927611490791197
gaussian,Gaussian (Additive),0.25,2,σ (std dev),InadequatePlanning,Socio-Political,Linear Regression,0.0006621990808616682,0.9998239339385144,0.0006621990808615573,597285215732257.1
gaussian,Gaussian (Additive),0.25,2,σ (std dev),InadequatePlanning,Socio-Political,XGBoost,0.010985312993811624,0.9515466986531824,5.549371007542922e-05,0.5077276086165948
gaussian,Gaussian (Additive),0.25,2,σ (std dev),PoliticalFactors,Socio-Political,Linear Regression,0.0006538701883218344,0.9998283350716799,0.0006538701883217235,589772785526233.5
gaussian,Gaussian (Additive),0.25,2,σ (std dev),PoliticalFactors,Socio-Political,XGBoost,0.010922129500398042,0.9521024670108931,-7.689783338152983e-06,-0.0703559970986487
gaussian,Gaussian (Additive),0.5,3,σ (std dev),MonsoonIntensity,Physical / Environmental,Linear Regression,0.0022541785343623954,0.9979597888257686,0.0022541785343622844,2033206555412122.0
gaussian,Gaussian (Additive),0.5,3,σ (std dev),MonsoonIntensity,Physical / Environmental,XGBoost,0.011263863493668685,0.949058320468433,0.00033404420993249015,3.0562647127162945
gaussian,Gaussian (Additive),0.5,3,σ (std dev),TopographyDrainage,Physical / Environmental,Linear Regression,0.0022613291196649904,0.9979468245972751,0.0022613291196648794,2039656185151136.0
gaussian,Gaussian (Additive),0.5,3,σ (std dev),TopographyDrainage,Physical / Environmental,XGBoost,0.011289255291461686,0.948828388921916,0.00035943600772549156,3.2885814339157466
gaussian,Gaussian (Additive),0.5,3,σ (std dev),RiverManagement,Infrastructure,Linear Regression,0.002287098023365311,0.9978997641893647,0.0022870980233652,2062899022011925.2
gaussian,Gaussian (Additive),0.5,3,σ (std dev),RiverManagement,Infrastructure,XGBoost,0.011307603830464604,0.9486619142875925,0.0003777845467284099,3.4564573934956213
gaussian,Gaussian (Additive),0.5,3,σ (std dev),Deforestation,Human / Land Use,Linear Regression,0.002241602711734735,0.9979824895690237,0.002241602711734624,2021863511985664.8
gaussian,Gaussian (Additive),0.5,3,σ (std dev),Deforestation,Human / Land Use,XGBoost,0.011286959416359054,0.9488492001585456,0.00035714013262285946,3.267575824920469
gaussian,Gaussian (Additive),0.5,3,σ (std dev),Urbanization,Human / Land Use,Linear Regression,0.0022894918409445335,0.9978953654163862,0.0022894918409444224,2065058179115207.8
gaussian,Gaussian (Additive),0.5,3,σ (std dev),Urbanization,Human / Land Use,XGBoost,0.011255241769405847,0.9491362754301167,0.0003254224856696526,2.9773821251911112
gaussian,Gaussian (Additive),0.5,3,σ (std dev),ClimateChange,Socio-Political,Linear Regression,0.002229935286367804,0.9980034369851081,0.002229935286367693,2011339817708921.8
gaussian,Gaussian (Additive),0.5,3,σ (std dev),ClimateChange,Socio-Political,XGBoost,0.011309285167917177,0.9486466461432899,0.0003794658841809826,3.4718404241654386
gaussian,Gaussian (Additive),0.5,3,σ (std dev),DamsQuality,Infrastructure,Linear Regression,0.0022850918350228447,0.9979034471278126,0.0022850918350227336,2061089495735672.2
gaussian,Gaussian (Additive),0.5,3,σ (std dev),DamsQuality,Infrastructure,XGBoost,0.011236261289512222,0.9493076807000048,0.00030644200577602775,2.8037243601275277
gaussian,Gaussian (Additive),0.5,3,σ (std dev),Siltation,Physical / Environmental,Linear Regression,0.002250794692081784,0.9979659095220406,0.002250794692081673,2030154423470245.8
gaussian,Gaussian (Additive),0.5,3,σ (std dev),Siltation,Physical / Environmental,XGBoost,0.011310406433443871,0.9486364627233932,0.00038058714970767675,3.48209919878546
gaussian,Gaussian (Additive),0.5,3,σ (std dev),AgriculturalPractices,Human / Land Use,Linear Regression,0.0022194911784674544,0.9980220953630459,0.0022194911784673434,2001919521878436.5
gaussian,Gaussian (Additive),0.5,3,σ (std dev),AgriculturalPractices,Human / Land Use,XGBoost,0.011351526508615683,0.9482623096196687,0.0004217072248794886,3.8583183667729806
gaussian,Gaussian (Additive),0.5,3,σ (std dev),Encroachments,Human / Land Use,Linear Regression,0.0022997160159214203,0.9978765261275757,0.0022997160159213092,2074280101544953.8
gaussian,Gaussian (Additive),0.5,3,σ (std dev),Encroachments,Human / Land Use,XGBoost,0.01126208041193042,0.9490744474374867,0.0003322611281942247,3.03995079487395
gaussian,Gaussian (Additive),0.5,3,σ (std dev),IneffectiveDisasterPreparedness,Socio-Political,Linear Regression,0.0022491662052627603,0.9979688518527857,0.0022491662052626493,2028685573498795.5
gaussian,Gaussian (Additive),0.5,3,σ (std dev),IneffectiveDisasterPreparedness,Socio-Political,XGBoost,0.011242427070218814,0.9492520316771411,0.0003126077864826198,2.8601368272189727
gaussian,Gaussian (Additive),0.5,3,σ (std dev),DrainageSystems,Infrastructure,Linear Regression,0.0022323344818289156,0.9979991384551735,0.0022323344818288046,2013503825512601.2
gaussian,Gaussian (Additive),0.5,3,σ (std dev),DrainageSystems,Infrastructure,XGBoost,0.01125802769907141,0.9491110924443719,0.00032820841533521584,3.002871381630225
gaussian,Gaussian (Additive),0.5,3,σ (std dev),CoastalVulnerability,Physical / Environmental,Linear Regression,0.0022935841848208717,0.9978878348492674,0.0022935841848207607,2068749359857786.2
gaussian,Gaussian (Additive),0.5,3,σ (std dev),CoastalVulnerability,Physical / Environmental,XGBoost,0.011325276362278355,0.9485013174094297,0.0003954570785421607,3.618148372595779
gaussian,Gaussian (Additive),0.5,3,σ (std dev),Landslides,Physical / Environmental,Linear Regression,0.002244050926816713,0.9979780802267965,0.002244050926816602,2024071734128612.5
gaussian,Gaussian (Additive),0.5,3,σ (std dev),Landslides,Physical / Environmental,XGBoost,0.011307501606455028,0.9486628425056876,0.00037768232271883327,3.455522117193947
gaussian,Gaussian (Additive),0.5,3,σ (std dev),Watersheds,Physical / Environmental,Linear Regression,0.0022639179992240597,0.9979421207561023,0.0022639179992239486,2041991282753403.2
gaussian,Gaussian (Additive),0.5,3,σ (std dev),Watersheds,Physical / Environmental,XGBoost,0.011285552249618082,0.9488619534989018,0.0003557329658818876,3.2547012594364286
gaussian,Gaussian (Additive),0.5,3,σ (std dev),DeterioratingInfrastructure,Infrastructure,Linear Regression,0.0022658690575723906,0.9979385722419122,0.0022658690575722796,2043751083303070.2
gaussian,Gaussian (Additive),0.5,3,σ (std dev),DeterioratingInfrastructure,Infrastructure,XGBoost,0.011361831162671383,0.9481683344197249,0.000432011878935188,3.9525985537384956
gaussian,Gaussian (Additive),0.5,3,σ (std dev),PopulationScore,Human / Land Use,Linear Regression,0.00223335260662179,0.9979973129300924,0.002233352606621679,2014422145854821.0
gaussian,Gaussian (Additive),0.5,3,σ (std dev),PopulationScore,Human / Land Use,XGBoost,0.011355067740351554,0.9482300243179602,0.0004252484566153597,3.8907180949289666
gaussian,Gaussian (Additive),0.5,3,σ (std dev),WetlandLoss,Physical / Environmental,Linear Regression,0.002275451702723194,0.9979210992978583,0.002275451702723083,2052394363611971.5
